Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Forward Checking,10,15,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0010004043579101562,45
Backtracking,10,16,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,16,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,17,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009996891021728516,45
Forward Checking,10,17,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,18,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,18,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0010001659393310547,45
Backtracking,10,19,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,19,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,20,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0010013580322265625,45
Forward Checking,10,20,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,21,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,21,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0010793209075927734,45
Backtracking,10,22,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,22,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,23,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0010001659393310547,45
Forward Checking,10,23,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,24,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,24,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,25,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.00099945068359375,45
Forward Checking,10,25,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,26,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009243488311767578,45
Forward Checking,10,26,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,27,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,27,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.000997304916381836,45
Backtracking,10,28,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,28,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,29,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0010471343994140625,45
Forward Checking,10,29,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,30,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009515285491943359,45
Forward Checking,10,30,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,12,1,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0020897388458251953,66
Forward Checking,12,1,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0,66
