Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Simulated Annealing,10,21,"[1, 5, 0, 8, 3, 7, 9, 2, 4, 1]",2,False,0.004607439041137695,688
Hill Climbing,10,22,"[9, 4, 2, 7, 3, 6, 8, 5, 0, 4]",1,False,0.001996278762817383,5
Simulated Annealing,10,22,"[6, 1, 3, 0, 8, 3, 9, 4, 2, 5]",2,False,0.004983186721801758,688
Hill Climbing,10,23,"[0, 6, 4, 1, 1, 9, 2, 8, 3, 3]",2,False,0.0014989376068115234,3
Simulated Annealing,10,23,"[2, 5, 7, 1, 3, 8, 6, 4, 0, 5]",1,False,0.004002094268798828,688
Hill Climbing,10,24,"[3, 6, 0, 2, 5, 7, 0, 4, 8, 1]",1,False,0.0029897689819335938,4
Simulated Annealing,10,24,"[7, 3, 7, 9, 4, 0, 5, 8, 6, 1]",1,False,0.004526376724243164,688
Hill Climbing,10,25,"[5, 0, 4, 6, 8, 2, 2, 7, 9, 1]",1,False,0.0029938220977783203,4
Simulated Annealing,10,25,"[4, 7, 9, 6, 2, 0, 6, 8, 5, 1]",1,False,0.010485649108886719,688
Hill Climbing,10,26,"[7, 4, 2, 5, 8, 3, 0, 6, 1, 6]",2,False,0.0019936561584472656,4
Simulated Annealing,10,26,"[4, 1, 5, 8, 2, 9, 7, 3, 0, 6]",1,False,0.004595518112182617,688
Hill Climbing,10,27,"[1, 6, 8, 0, 7, 3, 5, 2, 4, 9]",1,False,0.001996278762817383,5
Simulated Annealing,10,27,"[5, 3, 1, 4, 8, 6, 9, 7, 2, 0]",1,False,0.004983425140380859,688
Hill Climbing,10,28,"[6, 4, 0, 5, 8, 2, 1, 3, 9, 0]",2,False,0.0014998912811279297,3
Simulated Annealing,10,28,"[7, 2, 4, 1, 9, 0, 6, 3, 5, 8]",1,False,0.003993988037109375,688
Hill Climbing,10,29,"[2, 5, 9, 4, 0, 8, 3, 1, 6, 8]",1,False,0.002531290054321289,5
Simulated Annealing,10,29,"[2, 2, 6, 1, 9, 0, 3, 4, 7, 5]",2,False,0.004492759704589844,688
Hill Climbing,10,30,"[4, 7, 3, 6, 9, 1, 0, 5, 8, 2]",1,False,0.001996278762817383,4
Simulated Annealing,10,30,"[1, 7, 2, 8, 3, 9, 0, 5, 0, 6]",2,False,0.003986835479736328,688
Hill Climbing,12,1,"[9, 6, 1, 11, 0, 3, 7, 4, 2, 8, 10, 5]",2,False,0.0066070556640625,5
Simulated Annealing,12,1,"[7, 5, 10, 6, 1, 3, 11, 8, 2, 2, 10, 0]",3,False,0.004983186721801758,688
Hill Climbing,12,2,"[7, 5, 3, 1, 6, 8, 11, 4, 0, 2, 9, 7]",2,False,0.005493640899658203,5
Simulated Annealing,12,2,"[5, 2, 8, 1, 3, 9, 3, 10, 0, 11, 6, 4]",1,False,0.005591154098510742,688
Hill Climbing,12,3,"[10, 6, 1, 4, 8, 1, 3, 7, 2, 11, 5, 0]",3,False,0.005986452102661133,5
Simulated Annealing,12,3,"[1, 11, 5, 3, 9, 0, 4, 1, 10, 2, 6, 8]",1,False,0.0059926509857177734,688
Hill Climbing,12,4,"[5, 3, 8, 4, 11, 9, 0, 2, 0, 7, 10, 1]",1,False,0.010753154754638672,6
Simulated Annealing,12,4,"[7, 4, 8, 0, 0, 10, 6, 9, 1, 8, 11, 3]",2,False,0.006945133209228516,688
Hill Climbing,12,5,"[3, 10, 8, 5, 0, 2, 0, 11, 6, 4, 9, 1]",1,False,0.009006977081298828,6
Simulated Annealing,12,5,"[0, 11, 5, 10, 5, 1, 8, 4, 2, 6, 9, 9]",3,False,0.006490230560302734,688
Hill Climbing,12,6,"[3, 6, 9, 5, 1, 7, 0, 2, 8, 10, 11, 4]",2,False,0.0044934749603271484,4
Simulated Annealing,12,6,"[7, 11, 2, 0, 9, 1, 4, 8, 3, 0, 9, 5]",2,False,0.005997419357299805,688
Hill Climbing,12,7,"[8, 2, 9, 7, 0, 2, 0, 6, 3, 11, 10, 4]",4,False,0.003985166549682617,3
Simulated Annealing,12,7,"[2, 4, 8, 9, 11, 6, 3, 1, 0, 5, 10, 2]",3,False,0.004489421844482422,688
Hill Climbing,12,8,"[8, 3, 9, 0, 10, 5, 1, 6, 4, 7, 11, 4]",1,False,0.007085323333740234,6
Simulated Annealing,12,8,"[4, 1, 7, 9, 3, 8, 0, 4, 0, 11, 5, 7]",3,False,0.007222890853881836,688
Hill Climbing,12,9,"[6, 10, 5, 1, 11, 4, 8, 9, 0, 3, 7, 2]",1,False,0.005529642105102539,5
Simulated Annealing,12,9,"[1, 8, 0, 11, 7, 2, 4, 9, 5, 3, 10, 6]",2,False,0.0049839019775390625,688
Hill Climbing,12,10,"[1, 10, 2, 5, 3, 8, 11, 11, 4, 7, 0, 4]",2,False,0.008043050765991211,5
Simulated Annealing,12,10,"[2, 11, 10, 6, 3, 0, 0, 7, 9, 1, 8, 4]",2,False,0.005497455596923828,688
Hill Climbing,12,11,"[9, 0, 5, 0, 4, 10, 8, 3, 6, 2, 11, 1]",2,False,0.007483720779418945,5
Simulated Annealing,12,11,"[9, 4, 9, 0, 2, 11, 7, 3, 10, 8, 5, 1]",1,False,0.0050160884857177734,688
Hill Climbing,12,12,"[11, 3, 0, 7, 10, 4, 9, 1, 5, 9, 2, 6]",1,False,0.006486177444458008,6
Simulated Annealing,12,12,"[3, 10, 2, 11, 8, 0, 0, 6, 1, 9, 7, 9]",3,False,0.009169816970825195,688
Hill Climbing,12,13,"[3, 4, 0, 7, 10, 2, 6, 9, 1, 8, 5, 11]",2,False,0.004987955093383789,5
Simulated Annealing,12,13,"[10, 6, 2, 0, 11, 9, 5, 1, 9, 7, 3, 11]",3,False,0.005489349365234375,688
Hill Climbing,12,14,"[2, 10, 7, 11, 0, 5, 1, 1, 9, 8, 3, 4]",3,False,0.004987001419067383,5
Simulated Annealing,12,14,"[1, 7, 10, 8, 11, 1, 3, 0, 6, 4, 0, 5]",2,False,0.00653529167175293,688
Hill Climbing,12,15,"[5, 9, 2, 4, 7, 11, 0, 2, 6, 8, 3, 1]",1,False,0.004982948303222656,5
Simulated Annealing,12,15,"[10, 8, 2, 1, 3, 0, 7, 11, 0, 5, 1, 4]",3,False,0.005493879318237305,688
Hill Climbing,12,16,"[3, 8, 11, 2, 4, 6, 10, 0, 4, 1, 5, 9]",1,False,0.005524158477783203,4
